step,loss,embedding_grad_l1_norm,embedding_grad_l2_norm,output_proj_grad_l1_norm,output_proj_grad_l2_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean,embedding_grad_rolling_avg,output_proj_clip_threshold,output_proj_grad_l2_norm_post_clip
1,0.0,1947.194580078125,0.5503907203674316,237.906005859375,0.2805805504322052,-7.313594174718219e-15,3.573653959559886e-13,2.901546031353064e-05,2.309260480615194e-06,0.5437712073326111,0.05437712073326111,0.2805805504322052
2,0.0,2499.6982421875,0.7149028182029724,264.38372802734375,0.8196238279342651,-9.58955137519979e-15,1.3381853405328853e-13,3.7248406442813575e-05,2.5662693587946706e-06,0.679433262348175,0.06794332623481751,0.8196238279342651
3,0.0,1899.2294921875,0.5466305613517761,285.3599853515625,0.7290833592414856,7.851358452271029e-15,-2.0728401026283086e-16,2.8300724807195365e-05,2.7698777103069006e-06,0.6370404720306396,0.06370404720306397,0.7290833592414856
4,0.0,959.2852783203125,0.3400883078575134,302.816162109375,0.39985209703445435,-3.854555563620465e-15,-4.2039563155496854e-14,1.4294464563135989e-05,2.9393179374892497e-06,0.357700788974762,0.0357700788974762,0.39985209703445435
5,0.0,806.456787109375,0.2388756275177002,307.82550048828125,0.4493589401245117,1.5092094240998222e-16,-7.254141948589976e-14,1.201714258058928e-05,2.987941797982785e-06,0.25944884121418,0.025944884121418002,0.4493589401245117
6,0.0,1302.4803466796875,0.3955773115158081,331.3294677734375,1.6508771181106567,4.371503159461554e-16,2.4529713316449007e-14,1.94084695976926e-05,3.216085588064743e-06,0.42776499390602113,0.042776499390602116,1.6508771181106567
7,0.0,372.564453125,0.11506256461143494,317.630615234375,0.4377114176750183,3.0964814046186007e-16,7.486943194318779e-14,5.551642971113324e-06,3.0831160984234884e-06,0.13610314726829528,0.013610314726829529,0.4377114176750183
8,0.0,698.550048828125,0.24585828185081482,320.54669189453125,0.8285422325134277,1.8943180357666733e-15,1.3603823471354526e-13,1.0409206879558042e-05,3.1114213925320655e-06,0.20057501196861266,0.02005750119686127,0.8285422325134277
9,0.0,390.55047607421875,0.18533319234848022,319.38397216796875,0.4721807539463043,-8.552186736565659e-16,-1.9498817708032967e-13,5.819655598315876e-06,3.10013524540409e-06,0.15109067261219025,0.015109067261219026,0.4721807539463043
10,0.0,391.40386962890625,0.22847215831279755,310.3207702636719,0.4307241141796112,-3.668940151690947e-16,1.4427556913922113e-13,5.832372153236065e-06,3.0121623240120243e-06,0.10223655924201011,0.010223655924201012,0.4307241141796112
11,0.0,264.0791320800781,0.11185984313488007,297.6910705566406,0.2908976078033447,-2.7972416050126014e-16,3.516412546598701e-16,3.93508571505663e-06,2.889570851039025e-06,0.23471952527761458,0.02347195252776146,0.2908976078033447
12,0.0,241.91468811035156,0.12479755282402039,301.01690673828125,0.3570551574230194,-2.5847379792054426e-16,1.508948809002611e-13,3.6048097626917297e-06,2.921853365478455e-06,0.09080885648727417,0.009080885648727418,0.3570551574230194
13,0.0,187.14157104492188,0.06697292625904083,292.6528015136719,0.6605328321456909,7.112366251504909e-17,-6.494060660316298e-14,2.788626716210274e-06,2.8406661840563174e-06,0.16609881445765495,0.016609881445765497,0.6605328321456909
14,0.0,199.326904296875,0.08082418888807297,289.4013671875,0.5200611352920532,-5.516420653606247e-16,7.579483915498564e-14,2.9702023311983794e-06,2.809105808410095e-06,0.08616193234920502,0.008616193234920503,0.5200611352920532
15,0.0,127.15379333496094,0.04835229367017746,271.34539794921875,0.21645896136760712,-1.6588293239028218e-17,8.835740163614866e-14,1.8947391708934447e-06,2.633843678268022e-06,0.05822273567318916,0.005822273567318917,0.21645896136760712
16,0.0,149.47988891601562,0.051498714834451675,272.6590576171875,0.3272090256214142,-4.748805515486509e-16,-7.296651482894059e-14,2.2274239199759904e-06,2.6465947939868784e-06,0.07385948970913887,0.007385948970913887,0.3272090256214142
17,0.0,107.49037170410156,0.03605906665325165,264.9652099609375,0.2897178828716278,5.204170427930421e-17,-8.457789319165493e-14,1.6017313555494184e-06,2.5719136829138733e-06,0.03533961176872254,0.0035339611768722538,0.2897178828716278
18,0.0,151.94476318359375,0.07712361216545105,253.3023223876953,0.21530140936374664,-1.4051260155412137e-16,3.862375371789517e-14,2.2641534087597392e-06,2.4587066036474425e-06,0.055908181518316266,0.005590818151831627,0.21530140936374664
19,0.0,152.14083862304688,0.049455612897872925,258.2872314453125,0.34649643301963806,2.2985086056692694e-17,2.762209406516336e-13,2.2670751604891848e-06,2.507093086023815e-06,0.07339584454894066,0.0073395844548940666,0.34649643301963806
20,0.0,123.29103088378906,0.04132555052638054,245.9493408203125,0.30963972210884094,2.4600547293696096e-16,4.187272138181028e-14,1.8371795249549905e-06,2.387334006925812e-06,0.05886038988828659,0.005886038988828659,0.30963972210884094
21,0.0,98.91497802734375,0.031258296221494675,242.75741577148438,0.203433096408844,1.0397498834135988e-16,-6.387667901130295e-14,1.4739480320713483e-06,2.356351387788891e-06,0.044192570447921756,0.004419257044792175,0.203433096408844
22,0.0,117.51286315917969,0.03645443543791771,238.46841430664062,0.1843491941690445,3.1051550219984847e-16,1.2569356363026363e-13,1.7510781162854983e-06,2.314719722562586e-06,0.03394339494407177,0.0033943394944071768,0.1843491941690445
23,0.0,122.42694091796875,0.08574935793876648,226.3845672607422,0.18809762597084045,-4.883246584874712e-16,1.2136639078712957e-13,1.8243035810883157e-06,2.197426510974765e-06,0.048861709609627726,0.004886170960962773,0.18809762597084045
24,0.0,140.7095947265625,0.05189657583832741,236.32272338867188,0.28636813163757324,-5.939259500875593e-16,1.9587109711949324e-13,2.096736352541484e-06,2.293892293891986e-06,0.03651902861893177,0.003651902861893177,0.28636813163757324
25,0.0,116.8397445678711,0.02685842663049698,215.57070922851562,0.12844683229923248,-2.6530427160720294e-16,1.732700083672406e-14,1.7410478676538332e-06,2.092460590574774e-06,0.04324988946318627,0.004324988946318627,0.12844683229923248
26,0.0,157.58248901367188,0.06444205343723297,243.62887573242188,0.21864482760429382,1.7976072019809664e-16,-9.317129993956577e-14,2.348162070120452e-06,2.36481014326273e-06,0.034609388560056686,0.003460938856005669,0.21864482760429382
27,0.0,126.771240234375,0.041350193321704865,210.51284790039062,0.15403565764427185,-3.953001120882149e-16,1.6960775977583296e-14,1.8890386854764074e-06,2.043365839199396e-06,0.039326829463243486,0.003932682946324349,0.15403565764427185
28,0.0,117.51963806152344,0.030667124316096306,195.4068145751953,0.19170677661895752,1.8941011953321762e-16,8.396626594703565e-15,1.751179070197395e-06,1.8967375581269152e-06,0.04224613197147846,0.004224613197147846,0.19170677661895752
29,0.0,162.01614379882812,0.06275122612714767,204.45785522460938,0.25195011496543884,-4.8138576458356397e-17,-2.9591117188152664e-15,2.4142286747519393e-06,1.9845924725814257e-06,0.040659199655056,0.0040659199655056,0.25195011496543884
30,0.0,145.8831329345703,0.035976096987724304,192.00686645507812,0.16558408737182617,1.126486057212439e-16,5.658482478420896e-15,2.173828079321538e-06,1.863735519691545e-06,0.04298613891005516,0.0042986138910055165,0.16558408737182617
31,0.0,178.53851318359375,0.04043164849281311,187.60580444335938,0.16414278745651245,-4.351987520356815e-16,6.174953618229154e-15,2.6604311642586254e-06,1.8210162124887574e-06,0.04166281297802925,0.004166281297802925,0.16414278745651245
32,0.0,181.1094970703125,0.041008129715919495,182.0629119873047,0.14302991330623627,-1.7607443281164592e-16,-1.4609055068101617e-14,2.6987418095814064e-06,1.7672134617896518e-06,0.04382588192820549,0.004382588192820549,0.14302991330623627
33,0.0,197.72332763671875,0.04798896610736847,165.4661865234375,0.15013322234153748,-3.3263322651855276e-16,2.382000431521889e-15,2.9463071768986993e-06,1.6061155747593148e-06,0.042761345952749254,0.004276134595274926,0.15013322234153748
34,0.0,223.4287109375,0.05652301013469696,188.27920532226562,0.27713361382484436,-1.81603863891322e-16,-1.8580017353223705e-13,3.3293472370132804e-06,1.8275526372235618e-06,0.05537687614560127,0.005537687614560128,0.27713361382484436
35,0.0,209.76414489746094,0.041859667748212814,172.22586059570312,0.17624379694461823,-4.607859233063394e-16,-1.0503479596496446e-13,3.1257293358066818e-06,1.6717290236556437e-06,0.046116084605455396,0.00461160846054554,0.17624379694461823
36,0.0,261.5057373046875,0.05979608744382858,175.74896240234375,0.15140844881534576,1.8713329497099807e-16,5.890191898680688e-14,3.896739144693129e-06,1.7059264791896567e-06,0.05849483534693718,0.005849483534693719,0.15140844881534576
37,0.0,220.45205688476562,0.04259040579199791,156.0751953125,0.15250283479690552,-5.776629175002768e-16,-9.419292670603992e-15,3.2849916351551656e-06,1.5149608998399344e-06,0.05131197795271873,0.005131197795271873,0.15250283479690552
38,0.0,219.5838165283203,0.0426986888051033,161.79287719726562,0.15486028790473938,-2.84819910711942e-16,1.1383529041001771e-14,3.2720538456487702e-06,1.5704601992183598e-06,0.05153184980154037,0.005153184980154038,0.15486028790473938
39,0.0,239.57901000976562,0.0500653013586998,145.99398803710938,0.1398942470550537,-3.0357660829594124e-17,3.4120641755462796e-16,3.5700054468179587e-06,1.4171065458867815e-06,0.056033653765916826,0.005603365376591683,0.1398942470550537
40,0.0,263.162353515625,0.05342718958854675,166.99789428710938,0.20822174847126007,3.15936513062276e-16,1.6042264037492574e-15,3.92142464988865e-06,1.6209831983360345e-06,0.053360747545957564,0.005336074754595757,0.20822174847126007
