step,loss,embedding_grad_l1_norm,embedding_grad_l2_norm,output_proj_grad_l1_norm,output_proj_grad_l2_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean,embedding_grad_rolling_avg,output_proj_clip_threshold,output_proj_grad_l2_norm_post_clip
1,0.0,38.98237609863281,0.011018684133887291,237.906005859375,0.2805805504322052,-1.496198998029996e-17,3.573653959559886e-13,5.808826699649217e-07,2.309260480615194e-06,0.010885978676378727,0.0010885978676378727,0.028058055043220523
2,0.0,55.06279754638672,0.016117841005325317,269.2293395996094,0.9695906043052673,1.1102230246251565e-16,1.4741043130074571e-13,8.204996220229077e-07,2.6133038772968575e-06,0.015256103686988353,0.0015256103686988355,0.09695906043052674
3,0.0,36.151676177978516,0.010373110882937908,287.3189697265625,0.6983616352081299,7.014788055981214e-17,-3.786439545694527e-14,5.387019541558402e-07,2.7888927434105426e-06,0.011937129311263561,0.0011937129311263561,0.069836163520813
4,0.0,17.21042251586914,0.005684403702616692,303.95208740234375,0.3768801987171173,2.938187887435717e-17,9.144981728262044e-14,2.564552801231912e-07,2.9503439691325184e-06,0.006651256792247295,0.0006651256792247295,0.037688019871711734
5,0.0,14.69702434539795,0.004350102040916681,306.74395751953125,0.3911098539829254,-1.22514845490862e-17,-6.218982983750496e-14,2.1900272884067817e-07,2.97744350064022e-06,0.004828019673004747,0.0004828019673004747,0.039110985398292546
6,0.0,19.755176544189453,0.005914521403610706,325.385009765625,1.2309632301330566,-5.399326818977812e-17,-1.4707068299747023e-13,2.9437507009788533e-07,3.158384970447514e-06,0.006740212813019753,0.0006740212813019753,0.12309632301330567
7,0.0,6.416322708129883,0.001963753951713443,317.6438293457031,0.40583741664886475,-2.8053731213062427e-18,-3.327888095303044e-14,9.561065894558851e-08,3.0832443371764384e-06,0.002422112273052335,0.0002422112273052335,0.04058374166488648
8,0.0,12.331276893615723,0.004444384016096592,313.89068603515625,0.647821843624115,3.0249240612345574e-17,1.377479266718648e-13,1.8375034471773688e-07,3.046814072149573e-06,0.0035161103121936323,0.00035161103121936324,0.0647821843624115
9,0.0,7.518072605133057,0.0036197213921695948,310.0572814941406,0.4084761440753937,-7.345469718589293e-18,-1.9824995865867084e-13,1.1202801175613786e-07,3.009604824910639e-06,0.0027601714013144375,0.00027601714013144376,0.04084761440753937
10,0.0,6.238175392150879,0.00336099392734468,294.93017578125,0.3005550801753998,1.0333801956502464e-17,2.4375778630812694e-13,9.295605707393406e-08,2.8627719075302593e-06,0.001647692429833114,0.00016476924298331142,0.030055508017539978
